device,Sum_of_access_count,Sum_of_time_spent_sec
16 Port Switch Netgear GS116E,44,2975
Draytek Vigor 2860Ln Router,12,1874
5G Network,9,1129
Ubiquity WiFi,8,1090
ABB Robot,5,6983
Google ML Board,5,883
IP Camera,4,432
VPN SERVER,3,618
3D Printer,2,906
MES,2,906
16 Port Switch,39,3586
PC 1 Left TV,10, 1568
PC 2 Right TV,11, 1589
PC 3,12, 1256
Tablet 1,15, 8965
Tablet 2,16, 8574
Double robotics,13, 7856
Apache Kafka,15,5674
