triggers,Sum_of_Sub1,Sum_of_Sub2,Sum_of_Sub3,Sum_of_total_sub1,Sum_of_total_sub2,Sum_of_total_sub3,Sum_of_tr
root_privileges,0,1,0,2,2,2,6
mounting_device,1,0,1,2,2,2,6
installation_detected,1,0,1,2,2,2,6
file_upload,0,1,0,2,2,2,6
bittorrent_client,0,0,0,2,2,2,6
